code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
APC,2023-08-09,15:08:04,HOSE,STOCK,12.25,13.1,11.4,12.25,12.4,12.2,12.25,12.29,12.25,12.4,12.2,12.25,12.29,12500.0,153615000.0,0.0,0.0,0.0,0.0,0.0
ASM,2023-08-09,15:08:04,HOSE,STOCK,11.9,12.7,11.1,11.95,12.0,11.75,11.8,11.85,11.95,12.0,11.75,11.8,11.85,4247900.0,50358395000.0,0.0,0.0,-0.1,-0.1,-0.8403
BAF,2023-08-09,15:08:04,HOSE,STOCK,23.9,25.55,22.25,24.0,24.05,23.5,23.6,23.66,24.0,24.05,23.5,23.6,23.66,3266700.0,77293730000.0,0.0,0.0,-0.3,-0.3,-1.2552
HAG,2023-08-09,15:08:04,HOSE,STOCK,9.81,10.45,9.13,9.72,9.91,9.48,9.55,9.69,9.72,9.91,9.48,9.55,9.69,25251600.0,244587794000.0,0.0,0.0,-0.26,-0.26,-2.6504
HNG,2023-08-09,15:08:04,HOSE,STOCK,4.5,4.81,4.19,4.55,4.75,4.51,4.57,4.62,4.55,4.75,4.51,4.57,4.62,8170700.0,37738166000.0,0.0,0.0,0.07,0.07,1.5556
HSL,2023-08-09,15:08:04,HOSE,STOCK,7.33,7.84,6.82,7.58,7.84,7.4,7.84,7.8,7.58,7.84,7.4,7.84,7.8,663400.0,5176585000.0,0.0,0.0,0.51,0.51,6.9577
NSC,2023-08-09,15:08:04,HOSE,STOCK,76.0,81.3,70.7,76.0,77.0,75.0,76.0,75.82,76.0,77.0,75.0,76.0,75.82,10600.0,803640000.0,0.0,0.0,0.0,0.0,0.0
SJF,2023-08-09,15:08:04,HOSE,STOCK,4.56,4.87,4.25,4.87,4.87,4.62,4.64,4.77,4.87,4.87,4.62,4.64,4.77,3065300.0,14611876000.0,0.0,0.0,0.08,0.08,1.7544
SSC,2023-08-09,15:08:04,HOSE,STOCK,32.0,34.2,29.8,30.05,30.05,30.05,30.05,30.05,30.05,30.05,30.05,30.05,30.05,200.0,6010000.0,0.0,0.0,-1.95,-1.95,-6.0938
CTP,2023-08-09,15:08:04,HNX,STOCK,4.8,5.2,4.4,4.8,5.0,4.8,5.0,4.823,4.8,5.0,4.8,5.0,4.823,155300.0,749040000.0,0.0,0.0,0.2,0.2,4.1667
HKT,2023-08-09,15:08:04,HNX,STOCK,5.9,6.4,5.4,5.8,5.9,5.4,5.6,5.531,5.8,5.9,5.4,5.6,5.531,17200.0,95130000.0,0.0,0.0,-0.3,-0.3,-5.0847
