code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
AAT,2023-08-09,15:08:04,HOSE,STOCK,6.4,6.84,5.96,6.41,6.59,6.36,6.45,6.45,6.41,6.59,6.36,6.45,6.45,1339700.0,8638849000.0,0.0,0.0,0.05,0.05,0.7813
ABR,2023-08-09,15:08:04,HOSE,STOCK,14.3,15.3,13.3,14.25,14.5,14.2,14.45,14.37,14.25,14.5,14.2,14.45,14.37,8200.0,117840000.0,0.0,0.0,0.15,0.15,1.049
ABS,2023-08-09,15:08:04,HOSE,STOCK,8.78,9.39,8.17,8.78,8.88,8.66,8.76,8.75,8.78,8.88,8.66,8.76,8.75,2639900.0,23102917000.0,0.0,0.0,-0.02,-0.02,-0.2278
DBT,2023-08-09,15:08:04,HOSE,STOCK,13.7,14.65,12.75,13.7,13.7,13.6,13.65,13.66,13.7,13.7,13.6,13.65,13.66,18900.0,258175000.0,0.0,0.0,-0.05,-0.05,-0.365
COM,2023-08-09,15:08:04,HOSE,STOCK,33.8,36.15,31.45,33.8,33.8,33.8,33.8,0.0,33.8,33.8,33.8,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTF,2023-08-09,15:08:04,HOSE,STOCK,31.3,33.45,29.15,31.35,32.35,31.25,32.35,31.6,31.35,32.35,31.25,32.35,31.6,534000.0,16875040000.0,0.0,0.0,1.05,1.05,3.3546
CMV,2023-08-09,15:08:04,HOSE,STOCK,9.5,10.15,8.84,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,500.0,4700000.0,0.0,0.0,-0.1,-0.1,-1.0526
CCI,2023-08-09,15:08:04,HOSE,STOCK,23.55,25.15,21.95,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,300.0,6960000.0,0.0,0.0,-0.35,-0.35,-1.4862
BTT,2023-08-09,15:08:04,HOSE,STOCK,32.2,34.45,29.95,32.1,32.2,31.1,31.1,31.46,32.1,32.2,31.1,31.1,31.46,1500.0,47190000.0,0.0,0.0,-1.1,-1.1,-3.4161
AST,2023-08-09,15:08:04,HOSE,STOCK,61.2,65.4,57.0,61.0,61.5,60.8,61.3,61.43,61.0,61.5,60.8,61.3,61.43,8900.0,546750000.0,0.0,0.0,0.1,0.1,0.1634
HAX,2023-08-09,15:08:04,HOSE,STOCK,16.25,17.35,15.15,16.2,16.3,16.1,16.15,16.19,16.2,16.3,16.1,16.15,16.19,1662700.0,26917170000.0,0.0,0.0,-0.1,-0.1,-0.6154
FRT,2023-08-09,15:08:04,HOSE,STOCK,79.1,84.6,73.6,78.7,79.1,77.5,77.5,78.16,78.7,79.1,77.5,77.5,78.16,1211600.0,94700020000.0,0.0,0.0,-1.6,-1.6,-2.0228
MWG,2023-08-09,15:08:04,HOSE,STOCK,53.6,57.3,49.85,53.4,53.4,52.0,52.6,52.71,53.4,53.4,52.0,52.6,52.71,8966000.0,472612250000.0,0.0,0.0,-1.0,-1.0,-1.8657
PNC,2023-08-09,15:08:04,HOSE,STOCK,9.98,10.65,9.29,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,5300.0,56445000.0,0.0,0.0,0.67,0.67,6.7134
SFC,2023-08-09,15:08:04,HOSE,STOCK,18.0,19.25,16.75,17.1,17.6,17.1,17.15,17.18,17.1,17.6,17.1,17.15,17.18,1200.0,20620000.0,0.0,0.0,-0.85,-0.85,-4.7222
NAV,2023-08-09,15:08:04,HOSE,STOCK,15.05,16.1,14.0,15.2,15.2,15.15,15.15,15.18,15.2,15.2,15.15,15.15,15.18,200.0,3035000.0,0.0,0.0,0.1,0.1,0.6645
VGC,2023-08-09,15:08:04,HOSE,STOCK,47.2,50.5,43.9,47.05,47.1,45.9,45.9,46.46,47.05,47.1,45.9,45.9,46.46,1864200.0,86605955000.0,0.0,0.0,-1.3,-1.3,-2.7542
SVC,2023-08-09,15:08:04,HOSE,STOCK,36.7,39.25,34.15,36.6,36.8,34.25,36.8,35.13,36.6,36.8,34.25,36.8,35.13,2500.0,87835000.0,0.0,0.0,0.1,0.1,0.2725
HTC,2023-08-09,15:08:04,HNX,STOCK,20.7,22.7,18.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIA,2023-08-09,15:08:04,HNX,STOCK,11.1,12.2,10.0,11.0,11.2,11.0,11.2,11.145,11.0,11.2,11.0,11.2,11.145,25200.0,280850000.0,0.0,0.0,0.1,0.1,0.9009
CTC,2023-08-09,15:08:04,HNX,STOCK,3.1,3.4,2.8,3.2,3.3,3.1,3.3,3.203,3.2,3.3,3.1,3.3,3.203,707028.0,2264312500.0,0.0,0.0,0.2,0.2,6.4516
SVN,2023-08-09,15:08:04,HNX,STOCK,4.5,4.9,4.1,4.3,4.6,4.3,4.6,4.454,4.3,4.6,4.3,4.6,4.454,18600.0,82850000.0,0.0,0.0,0.1,0.1,2.2222
